,Tahun,Provinsi,jenis_pangan,rata2_harga
0,2019,Aceh,Beras,10225
1,2019,Sumatera Utara,Beras,11045.8333
2,2019,Sumatera Barat,Beras,13762.5
3,2019,Riau,Beras,12350
4,2019,Kepulauan Riau,Beras,13300
5,2019,Jambi,Beras,12116.6667
6,2019,Bengkulu,Beras,11979.1667
7,2019,Sumatera Selatan,Beras,11441.6667
8,2019,Kepulauan Bangka Belitung,Beras,11745.8333
9,2019,Lampung,Beras,11341.6667
10,2019,Banten,Beras,11691.6667
11,2019,Jawa Barat,Beras,11208.3333
12,2019,DKI Jakarta,Beras,12670.8333
13,2019,Jawa Tengah,Beras,10683.3333
14,2019,DI Yogyakarta,Beras,11441.6667
15,2019,Jawa Timur,Beras,10666.6667
16,2019,Bali,Beras,11233.3333
17,2019,Nusa Tenggara Barat,Beras,9983.3333
18,2019,Nusa Tenggara Timur,Beras,11533.3333
19,2019,Kalimantan Barat,Beras,13187.5
20,2019,Kalimantan Selatan,Beras,12662.5
21,2019,Kalimantan Tengah,Beras,13400
22,2019,Kalimantan Timur,Beras,12620.8333
23,2019,Kalimantan Utara,Beras,13354.1667
24,2019,Gorontalo,Beras,10733.3333
25,2019,Sulawesi Selatan,Beras,9979.1667
26,2019,Sulawesi Tenggara,Beras,10575
27,2019,Sulawesi Tengah,Beras,10833.3333
28,2019,Sulawesi Utara,Beras,11241.6667
29,2019,Sulawesi Barat,Beras,10008.3333
30,2019,Maluku,Beras,12925
31,2019,Maluku Utara,Beras,13112.5
32,2019,Papua,Beras,12370.8333
33,2019,Papua Barat,Beras,12420.8333
34,2019,Aceh,Gula,14450
35,2019,Sumatera Utara,Gula,13408.3333
36,2019,Sumatera Barat,Gula,14504.1667
37,2019,Riau,Gula,12387.5
38,2019,Kepulauan Riau,Gula,11808.3333
39,2019,Jambi,Gula,13225
40,2019,Bengkulu,Gula,12687.5
41,2019,Sumatera Selatan,Gula,12791.6667
42,2019,Kepulauan Bangka Belitung,Gula,12466.6667
43,2019,Lampung,Gula,12820.8333
44,2019,Banten,Gula,13308.3333
45,2019,Jawa Barat,Gula,13112.5
46,2019,DKI Jakarta,Gula,13962.5
47,2019,Jawa Tengah,Gula,13033.3333
48,2019,DI Yogyakarta,Gula,12687.5
49,2019,Jawa Timur,Gula,12425
50,2019,Bali,Gula,13320.8333
51,2019,Nusa Tenggara Barat,Gula,13429.1667
52,2019,Nusa Tenggara Timur,Gula,14525
53,2019,Kalimantan Barat,Gula,12337.5
54,2019,Kalimantan Selatan,Gula,13741.6667
55,2019,Kalimantan Tengah,Gula,14350
56,2019,Kalimantan Timur,Gula,13908.3333
57,2019,Kalimantan Utara,Gula,13604.1667
58,2019,Gorontalo,Gula,13891.6667
59,2019,Sulawesi Selatan,Gula,13491.6667
60,2019,Sulawesi Tenggara,Gula,14641.6667
61,2019,Sulawesi Tengah,Gula,14379.1667
62,2019,Sulawesi Utara,Gula,12895.8333
63,2019,Sulawesi Barat,Gula,13108.3333
64,2019,Maluku,Gula,15195.8333
65,2019,Maluku Utara,Gula,14316.6667
66,2019,Papua,Gula,16054.1667
67,2019,Papua Barat,Gula,15062.5
68,2019,Aceh,Telur,23445.8333
69,2019,Sumatera Utara,Telur,21204.1667
70,2019,Sumatera Barat,Telur,22650
71,2019,Riau,Telur,22308.3333
72,2019,Kepulauan Riau,Telur,23520.8333
73,2019,Jambi,Telur,20783.3333
74,2019,Bengkulu,Telur,22108.3333
75,2019,Sumatera Selatan,Telur,21800
76,2019,Kepulauan Bangka Belitung,Telur,25750
77,2019,Lampung,Telur,22520.8333
78,2019,Banten,Telur,24433.3333
79,2019,Jawa Barat,Telur,23366.6667
80,2019,DKI Jakarta,Telur,23895.8333
81,2019,Jawa Tengah,Telur,22595.8333
82,2019,DI Yogyakarta,Telur,23020.8333
83,2019,Jawa Timur,Telur,21770.8333
84,2019,Bali,Telur,21925
85,2019,Nusa Tenggara Barat,Telur,24212.5
86,2019,Nusa Tenggara Timur,Telur,27158.3333
87,2019,Kalimantan Barat,Telur,23975
88,2019,Kalimantan Selatan,Telur,24137.5
89,2019,Kalimantan Tengah,Telur,26995.8333
90,2019,Kalimantan Timur,Telur,24216.6667
91,2019,Kalimantan Utara,Telur,28562.5
92,2019,Gorontalo,Telur,27445.8333
93,2019,Sulawesi Selatan,Telur,21641.6667
94,2019,Sulawesi Tenggara,Telur,24041.6667
95,2019,Sulawesi Tengah,Telur,25558.3333
96,2019,Sulawesi Utara,Telur,24766.6667
97,2019,Sulawesi Barat,Telur,20116.6667
98,2019,Maluku,Telur,32462.5
99,2019,Maluku Utara,Telur,35408.3333
100,2019,Papua,Telur,35608.3333
101,2019,Papua Barat,Telur,29629.1667
102,2020,Aceh,Beras,10262.5
103,2020,Sumatera Utara,Beras,10995.8333
104,2020,Sumatera Barat,Beras,13645.8333
105,2020,Riau,Beras,12370.8333
106,2020,Kepulauan Riau,Beras,13304.1667
107,2020,Jambi,Beras,11887.5
108,2020,Bengkulu,Beras,11745.8333
109,2020,Sumatera Selatan,Beras,11545.8333
110,2020,Kepulauan Bangka Belitung,Beras,11920.8333
111,2020,Lampung,Beras,11375
112,2020,Banten,Beras,11541.6667
113,2020,Jawa Barat,Beras,11325
114,2020,DKI Jakarta,Beras,13358.3333
115,2020,Jawa Tengah,Beras,10975
116,2020,DI Yogyakarta,Beras,11400
117,2020,Jawa Timur,Beras,10612.5
118,2020,Bali,Beras,11620.8333
119,2020,Nusa Tenggara Barat,Beras,9870.8333
120,2020,Nusa Tenggara Timur,Beras,11679.1667
121,2020,Kalimantan Barat,Beras,13237.5
122,2020,Kalimantan Selatan,Beras,13045.8333
123,2020,Kalimantan Tengah,Beras,14025
124,2020,Kalimantan Timur,Beras,12425
125,2020,Kalimantan Utara,Beras,13400
126,2020,Gorontalo,Beras,10954.1667
127,2020,Sulawesi Selatan,Beras,9991.6667
128,2020,Sulawesi Tenggara,Beras,10825
129,2020,Sulawesi Tengah,Beras,11116.6667
130,2020,Sulawesi Utara,Beras,11325
131,2020,Sulawesi Barat,Beras,9908.3333
132,2020,Maluku,Beras,13091.6667
133,2020,Maluku Utara,Beras,12870.8333
134,2020,Papua,Beras,12091.6667
135,2020,Papua Barat,Beras,12679.1667
136,2020,Aceh,Gula,15904.1667
137,2020,Sumatera Utara,Gula,15312.5
138,2020,Sumatera Barat,Gula,15545.8333
139,2020,Riau,Gula,14212.5
140,2020,Kepulauan Riau,Gula,11962.5
141,2020,Jambi,Gula,14216.6667
142,2020,Bengkulu,Gula,14562.5
143,2020,Sumatera Selatan,Gula,14533.3333
144,2020,Kepulauan Bangka Belitung,Gula,14420.8333
145,2020,Lampung,Gula,14287.5
146,2020,Banten,Gula,15495.8333
147,2020,Jawa Barat,Gula,14925
148,2020,DKI Jakarta,Gula,16145.8333
149,2020,Jawa Tengah,Gula,14825
150,2020,DI Yogyakarta,Gula,14095.8333
151,2020,Jawa Timur,Gula,14395.8333
152,2020,Bali,Gula,14479.1667
153,2020,Nusa Tenggara Barat,Gula,14725
154,2020,Nusa Tenggara Timur,Gula,17275
155,2020,Kalimantan Barat,Gula,15350
156,2020,Kalimantan Selatan,Gula,15883.3333
157,2020,Kalimantan Tengah,Gula,15970.8333
