,jenis_pangan,Provinsi,rata2_harga,Harga_Pra,Pctdiff_pra,Harga_Covid,Pctdiff_covid,Harga_Pasca,Pctdiff_pasca
0,Beras,Bali,11514.6552,11233.3333,-2.44316338,10925,-5.12091038,12311.3636,6.91908227
1,Beras,DKI Jakarta,13260.3448,12670.8333,-4.44567243,12797.9167,-3.48730117,14086.3636,6.22924079
2,Beras,Jawa Timur,10748.2759,10666.6667,-0.75927708,10025,-6.72922682,11581.8182,7.75512585
3,Beras,Papua,12375,12370.8333,-0.03367003,11593.75,-6.31313131,13229.5455,6.90541781
4,Gula,Bali,13714.6552,13320.8333,-2.87154022,13364.5833,-2.5525384,14311.3636,4.35088201
5,Gula,DKI Jakarta,14777.5862,13962.5,-5.51569245,14747.9167,-0.20077393,15254.5455,3.22758562
6,Gula,Jawa Timur,13312.069,12425,-6.66364461,13097.9167,-1.60870785,14029.5455,5.38966926
7,Gula,Papua,16770.6897,16054.1667,-4.27247181,16591.6667,-1.06747541,17356.8182,3.4949578
8,Telur,Bali,23572.4138,21925,-6.9887361,21870.8333,-7.21852448,26327.2727,11.68679185
9,Telur,DKI Jakarta,24926.7241,23895.8333,-4.13568505,22814.5833,-8.47339904,27793.1818,11.49953626
10,Telur,Jawa Timur,23111.2069,21770.8333,-5.79966927,20972.9167,-9.25217899,26175,13.25674214
11,Telur,Papua,37240.5172,35608.3333,-4.3828175,36827.0833,-1.1101723,38581.8182,3.60172479
