,Tahun,Provinsi,Harga_Beras_Rata2,Harga_Panen_Beras,PctChange_Beras,Harga_Gula_Rata2,Harga_Panen_Gula,PctChange_Gula,Harga_Telur_Rata2,Harga_Panen_Telur,PctChange_Telur
0,2019,Bali,11233.3333,11425,1.70623145,13320.8333,13528.5714,1.55949774,21925,23700,8.09578107
1,2019,DKI Jakarta,12670.8333,12725,0.42749096,13962.5,14228.5714,1.90561453,23895.8333,26850,12.36268527
2,2019,Jawa Timur,10666.6667,10825,1.484375,12425,12650,1.81086519,21770.8333,24500,12.53588517
3,2019,Papua,12370.8333,12625,2.05456383,16054.1667,16028.5714,-0.1594305,35608.3333,36900,3.62742804
4,2020,Bali,11620.8333,11775,1.32664037,14479.1667,14392.8571,-0.59609455,22725,23900,5.17051705
5,2020,DKI Jakarta,13358.3333,13325,-0.24953213,16145.8333,16421.4286,1.70691244,24500,25350,3.46938776
6,2020,Jawa Timur,10612.5,10725,1.06007067,14395.8333,14271.4286,-0.86417201,22295.8333,23400,4.95234536
7,2020,Papua,12091.6667,12100,0.06891799,17845.8333,18492.8571,3.62562957,38875,36450,-6.23794212
8,2021,Bali,10229.1667,5800,-43.299389,12250,13378.5714,9.21282799,21016.6667,25450,21.09436955
9,2021,DKI Jakarta,12237.5,6725,-45.04596527,13350,14478.5714,8.45371857,21129.1667,25650,21.39617432
10,2021,Jawa Timur,9437.5,5225,-44.63576159,11800,12792.8571,8.41404358,19650,23200,18.06615776
11,2021,Papua,11095.8333,6075,-45.24971836,15337.5,16550,7.90546047,34779.1667,38650,11.12974721
12,2022,Bali,11459.0909,11650,1.66600555,13990.9091,14166.6667,1.25622699,24800,26050,5.04032258
13,2022,DKI Jakarta,13577.2727,13450,-0.93739538,15022.7273,15233.3333,1.40191629,26859.0909,30000,11.69402606
14,2022,Jawa Timur,10750,10550,-1.86046512,13818.1818,13883.3333,0.47149123,25159.0909,25900,2.94489612
15,2022,Papua,12300,12300,0,17281.8182,17400,0.6838506,39854.5455,38700,-2.89689781
16,2023,Bali,13163.6364,12800,-2.76243094,14631.8182,14871.4286,1.63759819,27854.5455,25350,-8.99151436
17,2023,DKI Jakarta,14595.4545,14425,-1.16786048,15486.3636,15678.5714,1.24114219,28727.2727,29000,0.94936709
18,2023,Jawa Timur,12413.6364,12075,-2.72793848,14240.9091,14492.8571,1.76918517,27190.9091,27150,-0.15045135
19,2023,Papua,14159.0909,13600,-3.94863563,17431.8182,17514.2857,0.47308624,37309.0909,39400,5.6042885
